participant_id,form,profession,gender,age_group,binary_profile,active_values_count,matched_vsw_id,excluded,exclusion_reason,ac1_pass,ac2_pass,sds_score,Self-Direction,Stimulation,Hedonism,Achievement,Power,Security,Conformity,Tradition,Benevolence,Universalism
P_F2_014,F2,Industry professional,Male,25-35,1110000111,6,,0,,1,1,4,1,1,1,0,0,0,0,1,1,1
P_F2_015,F2,CS Grad,Male,18-25,0111111011,8,,0,,1,1,3,0,1,1,1,1,1,1,0,1,1
P_F2_016,F2,Software Engineer ,Female,18-25,1000001101,4,,0,,1,1,6,1,0,0,0,0,0,1,1,0,1
P_F2_017,F2,CS Grad,Male,18-25,0010011101,5,,0,,1,1,5,0,0,1,0,0,1,1,1,0,1
P_F2_018,F2,Industry professional,Male,25-35,0010001010,3,,0,,1,1,7,0,0,1,0,0,0,1,0,1,0
P_F2_019,F2,State pcs aspirant,Male,25-35,1010010011,5,,0,,1,1,6,1,0,1,0,0,1,0,0,1,1
P_F2_020,F2,Media ,Male,25-35,1110000011,5,,0,,1,1,7,1,1,1,0,0,0,0,0,1,1
P_F2_021,F2,CS Grad,Male,18-25,1010101110,6,,0,,1,1,5,1,0,1,0,1,0,1,1,1,0
P_F2_022,F2,Medical personnel,Female,18-25,0011110010,5,,0,,1,1,7,0,0,1,1,1,1,0,0,1,0
P_F2_023,F2,Medical personnel,Female,18-25,1111011111,9,,0,failed_ac2,1,0,5,1,1,1,1,0,1,1,1,1,1
P_F2_024,F2,CS Grad,Male,18-25,0111110010,6,,0,,1,1,3,0,1,1,1,1,1,0,0,1,0
P_F2_025,F2,Medical personnel,Female,18-25,1110100101,6,,0,,1,1,6,1,1,1,0,1,0,0,1,0,1
P_F2_026,F2,Mechanical engineer,Male,18-25,1010010111,6,,0,,1,1,5,1,0,1,0,0,1,0,1,1,1
P_F2_027,F2,Medical personnel,Female,18-25,0110001011,5,,0,,1,1,5,0,1,1,0,0,0,1,0,1,1
P_F2_028,F2,Home maker,Female,45+,0010011111,6,,0,high_sds,1,1,8,0,0,1,0,0,1,1,1,1,1
P_F2_029,F2,CS Grad,Male,45+,1010001110,5,,0,,1,1,6,1,0,1,0,0,0,1,1,1,0
P_F2_030,F2,Medical personnel,Female,18-25,1100100110,5,,0,failed_ac1,0,1,5,1,1,0,0,1,0,0,1,1,0
P_F2_031,F2,Medical personnel,Female,18-25,0110010111,6,,0,,1,1,5,0,1,1,0,0,1,0,1,1,1
P_F2_032,F2,Medical personnel,Female,18-25,1000010101,4,VSW_0533,0,"failed_ac1,failed_ac2",0,0,4,1,0,0,0,0,1,0,1,0,1
