participant_id,form_version,domain,age_band,gender,years_experience,pvq_a1,pvq_a2,pvq_a3,pvq_a4,pvq_a5,pvq_a6,pvq_a7,pvq_a8,pvq_a9,pvq_a10,pvq_a11,pvq_a12,pvq_a13,pvq_a14,pvq_a15,pvq_a16,pvq_a17,pvq_a18,pvq_a19,pvq_a20,pvq_a21,sds_c1,sds_c2,sds_c3,sds_c4,sds_c5,sds_c6,sds_c7,sds_c8,sds_c9,sds_c10,sds_score,attn_1,attn_2,duration_seconds
P_F1_96428,F1,medical,18-24,na,4-7,3,3,4,2,2,4,3,4,5,2,3,4,3,3,4,3,3,2,4,3,3,False,False,True,True,True,False,True,False,True,False,6,fail,fail,848
P_F1_50448,F1,CS,25-34,other,<1,2,3,5,4,3,3,1,6,2,2,3,5,4,3,3,1,5,5,5,2,3,False,True,True,True,True,False,True,True,True,False,6,pass,pass,653
P_F1_89578,F1,software,45+,F,4-7,4,6,3,4,2,4,4,3,3,4,4,3,4,3,5,4,6,5,2,4,4,False,True,True,True,True,True,False,False,False,True,7,pass,pass,527
P_F1_11653,F1,medical,45+,na,<1,2,3,3,4,4,4,3,3,4,4,5,4,4,4,6,5,3,5,4,5,4,False,False,False,True,False,False,False,True,False,True,4,pass,pass,1060
P_F1_15314,F1,CS,35-44,M,1-3,5,4,2,4,3,4,4,2,1,5,4,3,4,3,3,3,5,3,2,1,4,True,False,True,False,False,False,False,True,False,True,5,pass,pass,475
P_F1_22644,F1,software,35-44,na,4-7,3,3,6,5,3,4,4,6,4,3,2,4,3,4,4,4,4,4,6,4,3,True,False,True,False,False,True,True,False,True,False,4,pass,pass,1073
P_F1_14689,F1,medical,25-34,other,1-3,2,2,4,2,5,4,3,6,6,5,3,3,2,6,3,3,2,4,5,6,5,False,False,False,False,False,False,True,True,True,True,1,pass,pass,894
P_F1_54173,F1,CS,45+,na,8+,3,3,3,5,3,4,5,3,6,2,3,4,4,3,3,4,3,4,3,6,3,True,True,True,False,True,False,False,False,False,False,9,pass,fail,713
P_F1_98667,F1,software,18-24,other,<1,1,3,2,4,2,1,3,3,4,6,1,1,3,3,3,2,2,2,3,5,6,True,False,False,False,False,True,True,False,True,False,3,pass,pass,1032
P_F1_11637,F1,medical,45+,na,<1,4,4,4,4,4,5,3,3,2,3,5,4,4,4,4,5,5,4,4,3,4,True,False,False,False,True,True,True,False,True,True,3,pass,pass,988
P_F1_26750,F1,CS,25-34,other,1-3,3,4,4,3,3,3,4,4,4,4,3,4,4,2,5,4,4,4,4,5,3,False,False,True,False,False,True,False,True,False,False,4,pass,pass,882
P_F1_92421,F1,software,35-44,M,8+,5,4,3,4,2,5,3,3,2,3,6,5,2,2,5,3,4,5,2,3,2,True,True,True,False,False,False,False,True,False,False,7,pass,pass,444
P_F1_27981,F1,medical,35-44,other,1-3,4,5,3,2,3,6,3,4,4,5,4,4,2,3,6,3,4,4,3,4,3,True,True,True,True,True,False,False,False,False,False,10,pass,pass,818
P_F1_50678,F1,CS,45+,F,4-7,4,3,4,3,3,5,2,4,2,3,4,4,1,3,4,1,4,4,3,2,3,False,True,False,False,True,False,True,False,True,False,5,pass,pass,1021
P_F1_48933,F1,software,18-24,na,<1,5,3,5,2,6,4,3,5,3,2,6,2,2,5,2,3,3,3,5,3,2,False,True,False,False,True,True,True,False,True,True,3,pass,pass,1344
P_F1_58101,F1,medical,35-44,na,<1,3,3,5,4,6,5,3,6,5,2,4,4,6,6,5,3,4,3,5,4,1,True,True,True,False,True,False,False,True,False,False,8,pass,pass,870
P_F1_42602,F1,CS,35-44,other,8+,2,6,4,3,1,4,3,4,4,4,2,3,3,1,3,3,6,2,3,4,3,False,False,True,True,True,False,False,False,False,False,8,pass,pass,868
P_F1_73506,F1,software,45+,M,<1,3,4,5,4,4,3,4,4,3,3,4,3,4,4,3,4,3,4,5,3,2,True,False,True,False,True,True,True,False,True,True,4,pass,pass,545
P_F1_14146,F1,medical,45+,F,4-7,2,4,3,1,2,3,1,2,5,5,2,4,3,2,3,3,4,3,3,5,6,True,False,True,True,True,True,True,False,False,True,6,pass,pass,824
P_F1_30542,F1,CS,45+,other,8+,2,5,4,3,4,2,3,4,6,4,3,5,5,3,3,3,5,3,5,6,4,False,False,False,True,False,False,False,True,False,True,4,pass,pass,815
P_F1_38198,F1,software,45+,F,1-3,5,2,2,3,1,3,1,4,3,4,5,2,3,1,3,2,3,4,1,4,3,True,True,True,False,False,True,True,True,False,False,5,pass,pass,530
P_F1_44724,F1,medical,45+,M,8+,3,5,5,3,2,2,5,4,4,1,3,3,3,3,2,6,4,4,5,4,2,False,True,True,False,True,False,True,True,False,True,5,pass,pass,607
P_F1_58708,F1,CS,25-34,M,1-3,5,3,3,5,2,2,3,4,4,4,4,4,3,1,4,3,3,4,4,4,3,False,False,False,True,False,True,True,False,True,False,3,pass,pass,800
P_F1_53822,F1,software,18-24,other,1-3,4,4,5,5,2,4,5,6,3,4,4,3,4,3,4,6,2,4,5,4,2,False,True,False,True,True,True,False,True,False,False,6,pass,pass,264
P_F1_22482,F1,medical,45+,M,<1,2,4,4,3,4,5,4,3,6,3,2,4,2,4,6,4,3,3,3,6,4,True,True,False,True,True,False,False,False,False,False,9,pass,pass,669
P_F1_73050,F1,CS,45+,F,1-3,3,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,5,3,5,4,False,True,False,False,False,False,False,True,False,True,4,pass,pass,597
P_F1_38524,F1,software,35-44,M,<1,4,5,6,1,3,4,3,4,5,5,4,4,1,3,3,5,5,5,5,5,5,True,True,True,True,True,False,False,True,True,True,7,pass,pass,814
P_F2_99827,F2,medical,25-34,M,1-3,5,4,4,1,3,2,2,5,3,2,5,4,1,3,2,3,4,5,5,2,2,True,False,True,True,True,False,False,True,False,True,7,pass,pass,758
P_F2_77353,F2,CS,18-24,na,1-3,4,3,5,3,3,3,3,5,4,3,4,1,4,3,4,4,3,2,6,4,3,True,True,True,False,True,True,False,False,True,False,7,pass,pass,641
P_F2_34529,F2,software,35-44,other,4-7,1,5,4,5,4,4,4,4,3,6,1,2,6,4,4,4,4,3,5,4,4,True,True,True,True,True,True,True,False,False,False,8,pass,pass,641
P_F2_18754,F2,medical,35-44,M,<1,3,2,4,4,1,5,3,6,4,1,5,3,5,1,6,3,2,1,4,3,2,True,True,True,True,False,False,False,False,False,False,9,pass,pass,995
P_F2_45878,F2,CS,18-24,M,<1,3,5,2,3,3,4,5,1,3,4,2,3,3,4,5,4,6,1,2,3,5,True,False,False,True,True,True,False,False,True,True,5,pass,pass,946
P_F2_42930,F2,software,18-24,M,1-3,2,5,3,4,4,4,6,3,1,3,1,5,4,3,5,6,5,4,4,2,3,False,False,True,True,False,True,True,True,False,False,4,pass,pass,458
P_F2_36231,F2,medical,35-44,na,8+,4,1,5,4,4,3,3,4,1,5,4,4,5,4,4,4,1,3,5,2,5,False,False,True,False,True,True,False,False,False,True,5,pass,pass,711
P_F2_69719,F2,CS,35-44,F,4-7,6,4,5,3,4,3,5,5,5,3,4,2,4,3,4,5,4,3,6,5,3,True,True,False,False,True,True,True,True,False,True,4,fail,pass,672
P_F2_44103,F2,software,45+,na,1-3,4,3,6,2,4,3,4,5,4,4,5,4,3,3,3,3,3,3,5,4,3,True,True,True,True,True,False,False,True,True,False,8,pass,pass,781
P_F2_11942,F2,medical,45+,na,1-3,3,4,4,4,4,3,2,4,2,4,3,3,4,4,3,1,4,4,5,2,4,True,True,True,True,True,False,False,False,False,False,10,pass,pass,577
P_F2_92706,F2,CS,25-34,other,4-7,2,4,3,3,4,5,5,3,4,5,2,5,3,3,3,5,3,5,3,3,5,False,True,False,True,True,False,True,False,False,False,7,pass,pass,173
P_F2_89514,F2,software,35-44,M,8+,3,4,2,4,2,3,4,2,6,6,3,4,5,2,3,4,3,5,3,5,6,False,True,True,False,True,False,False,False,True,True,6,pass,pass,256
P_F2_40527,F2,medical,25-34,F,1-3,4,4,5,3,2,5,6,4,3,3,3,3,4,3,5,5,3,3,4,2,3,False,True,False,True,False,True,True,True,False,False,4,pass,pass,770
P_F2_19613,F2,CS,45+,na,1-3,3,4,4,3,4,4,4,5,4,5,4,3,3,3,3,4,5,5,5,4,5,False,True,False,False,True,True,False,True,True,True,3,pass,pass,1023
P_F2_61972,F2,software,18-24,na,<1,5,4,5,4,3,4,3,4,3,1,5,3,4,3,3,3,3,2,4,2,2,True,False,True,True,True,True,True,False,False,True,6,pass,pass,821
P_F2_70041,F2,medical,35-44,M,<1,3,5,3,4,5,4,3,3,2,5,2,2,3,3,5,5,6,3,2,2,5,True,True,True,True,True,False,False,False,False,False,10,pass,fail,989
P_F2_54093,F2,CS,45+,other,4-7,5,3,4,1,3,6,3,2,5,4,6,4,3,2,6,2,2,5,4,4,4,False,False,True,True,False,True,False,True,True,False,4,pass,pass,786
P_F2_17573,F2,software,25-34,F,1-3,4,5,5,3,3,5,4,4,3,3,4,3,3,3,5,3,6,3,3,3,3,False,False,True,False,True,False,False,True,True,True,4,pass,pass,1201
P_F2_16888,F2,medical,25-34,M,4-7,4,3,3,2,4,1,3,2,3,2,3,5,2,2,2,5,3,5,2,4,1,True,True,True,False,False,False,False,False,False,False,8,pass,pass,764
P_F2_62759,F2,CS,35-44,F,1-3,4,3,3,6,5,2,3,2,3,4,5,5,5,3,2,3,3,6,1,2,4,False,False,True,False,True,True,True,True,False,False,4,pass,pass,765
P_F2_35956,F2,software,18-24,other,8+,3,5,2,5,4,5,6,2,4,5,4,2,4,5,5,4,4,2,2,4,5,True,True,True,False,False,True,False,False,False,False,7,pass,fail,599
P_F2_85147,F2,medical,18-24,F,4-7,4,5,2,4,5,3,5,3,3,4,3,5,4,4,3,5,6,5,3,3,5,False,False,False,False,False,True,False,True,False,True,2,pass,pass,1138
P_F2_39338,F2,CS,18-24,other,8+,5,4,4,3,3,2,5,3,4,5,5,4,3,3,2,4,3,4,4,4,6,True,True,True,True,True,False,False,False,False,True,9,pass,pass,654
P_F2_11289,F2,software,18-24,M,8+,2,3,2,3,3,3,5,3,4,4,1,3,3,4,3,4,4,3,2,3,3,False,False,False,True,True,False,True,True,True,True,3,pass,pass,433
P_F2_17614,F2,medical,25-34,M,8+,4,5,4,3,3,3,3,3,3,3,4,3,5,2,5,3,5,3,4,3,3,True,True,False,True,False,False,False,False,False,True,7,pass,pass,1133
P_F2_64601,F2,CS,35-44,na,4-7,3,3,3,4,2,4,4,2,4,4,4,4,3,3,4,5,3,3,3,6,4,True,False,True,True,False,False,False,False,False,True,7,pass,pass,981
P_F2_35760,F2,software,35-44,F,1-3,4,4,5,2,4,3,6,5,3,3,5,5,2,4,2,5,3,4,4,4,3,True,True,False,True,True,False,True,True,True,True,5,pass,pass,253
P_F2_94067,F2,medical,25-34,na,4-7,4,6,4,5,3,4,5,3,3,4,4,3,5,4,4,5,5,4,5,3,4,False,True,False,False,True,False,True,True,False,False,5,pass,pass,744
P_F2_39862,F2,CS,35-44,other,<1,3,3,3,1,4,5,2,4,4,3,4,4,1,4,5,1,4,4,5,4,3,True,False,True,False,True,False,True,False,False,True,6,pass,pass,868
P_F2_98565,F2,software,18-24,M,1-3,4,5,2,3,3,5,5,3,3,3,4,4,4,2,4,4,5,5,2,4,4,False,False,True,True,True,False,True,False,False,False,7,pass,pass,1336
P_F2_82490,F2,medical,45+,F,1-3,6,3,3,2,5,4,3,3,6,2,5,1,3,3,4,6,4,2,3,6,2,True,False,True,False,False,False,True,True,True,False,4,pass,pass,493
P_F2_98886,F2,CS,35-44,other,<1,3,6,3,2,2,4,4,3,3,2,3,4,3,3,3,3,6,5,3,3,2,True,True,False,True,True,False,False,True,False,False,8,pass,pass,729
P_F2_13024,F2,software,45+,F,4-7,4,4,5,3,2,2,4,5,6,4,3,2,2,4,2,4,5,3,5,4,3,True,True,True,False,True,False,True,True,False,True,6,pass,pass,459
P_F2_70814,F2,medical,18-24,na,4-7,4,5,3,2,3,4,2,5,3,3,4,3,1,3,1,3,4,5,4,2,4,False,False,True,False,True,False,False,True,False,True,5,pass,pass,957
P_F2_46413,F2,CS,35-44,other,1-3,1,2,2,3,3,4,3,2,4,3,1,3,3,4,4,4,2,3,3,4,3,True,False,False,False,False,False,True,False,True,False,4,pass,pass,537
P_F2_32604,F2,software,35-44,F,<1,4,3,2,4,3,3,4,3,5,3,3,4,4,4,4,5,4,5,3,4,4,True,True,True,True,True,False,False,True,False,False,9,pass,pass,544
P_F2_84285,F2,medical,18-24,M,8+,3,4,3,5,2,3,3,3,2,3,3,5,4,2,1,2,4,5,5,3,2,True,False,True,True,False,True,False,True,True,False,5,pass,pass,382
P_F2_63656,F2,CS,18-24,na,8+,5,2,2,3,3,4,4,3,4,2,5,5,5,2,4,3,3,4,2,5,4,False,True,True,False,False,False,True,True,True,True,3,pass,pass,267
P_F2_83207,F2,software,35-44,F,1-3,4,3,4,2,4,4,6,5,3,4,3,3,2,5,3,6,3,4,5,1,3,False,True,False,True,True,True,False,True,False,True,5,pass,pass,820
P_F2_37180,F2,medical,35-44,na,4-7,4,5,6,3,4,3,2,4,3,4,3,3,3,5,2,2,4,3,5,4,4,True,True,True,False,True,False,False,True,True,False,7,pass,pass,908
P_F2_12078,F2,CS,45+,other,4-7,2,4,6,2,3,2,3,4,3,4,4,4,3,1,4,4,3,4,4,3,6,True,True,True,True,True,False,True,False,False,False,9,pass,pass,352
P_F2_15746,F2,software,25-34,other,1-3,3,2,2,5,4,2,5,2,4,3,3,2,6,3,3,5,3,2,2,4,3,False,False,True,False,True,False,True,False,True,False,5,pass,pass,865
P_F2_91808,F2,medical,35-44,M,4-7,1,4,2,5,3,2,3,3,3,2,1,3,5,4,3,4,4,4,3,4,2,True,True,True,True,True,True,True,False,False,False,8,pass,pass,1214
P_F2_27136,F2,CS,18-24,na,1-3,1,3,3,5,3,2,3,3,5,5,1,4,4,4,3,4,4,5,4,5,5,False,False,False,True,True,True,False,True,True,False,4,pass,pass,624
P_F2_89420,F2,software,45+,F,8+,6,5,2,3,6,3,4,3,3,2,5,4,3,6,3,4,4,2,3,4,1,False,True,False,True,False,True,True,False,False,True,4,pass,pass,1111
P_F2_71634,F2,medical,45+,F,<1,2,4,3,1,4,3,3,3,3,2,1,1,1,3,3,3,3,2,2,3,3,True,True,False,True,True,False,False,True,False,False,8,pass,pass,664
P_F2_27086,F2,CS,35-44,na,1-3,6,3,2,4,4,2,2,3,2,3,5,6,4,3,2,1,4,5,2,3,3,True,True,True,True,True,False,False,False,True,False,9,pass,pass,878
P_F2_77219,F2,software,35-44,na,<1,4,5,3,5,5,3,6,3,5,4,4,6,4,5,3,5,5,6,3,6,4,True,True,True,True,True,False,False,False,False,False,10,pass,pass,359
P_F2_24528,F2,medical,18-24,other,8+,3,4,1,5,4,5,2,2,3,4,4,3,4,3,4,3,4,4,2,1,3,True,True,True,True,True,False,False,False,False,False,10,pass,pass,714
P_F2_51230,F2,CS,25-34,na,1-3,4,2,3,3,5,2,3,3,2,6,3,2,4,4,3,4,3,2,2,2,4,False,True,True,False,False,True,True,True,False,False,4,pass,pass,883
