participant_id,form_version,scenario_id,is_modified,axis,modifier_id,choice,confidence
P_F1_32282,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,5
P_F1_32282,F1,SC004_1,0,,,0,2
P_F1_32282,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,2
P_F1_32282,F1,SC005_1,0,,,1,4
P_F1_32282,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,2
P_F1_79898,F1,SC001_1,0,,,0,2
P_F1_79898,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_79898,F1,SC002_1,0,,,1,2
P_F1_79898,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_79898,F1,SC003_1,0,,,1,2
P_F1_79898,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_79898,F1,SC004_1,0,,,0,2
P_F1_79898,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,4
P_F1_79898,F1,SC005_1,0,,,1,3
P_F1_79898,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_34031,F1,SC001_1,0,,,0,5
P_F1_34031,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,4
P_F1_34031,F1,SC002_1,0,,,0,3
P_F1_34031,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,3
P_F1_34031,F1,SC003_1,0,,,1,4
P_F1_34031,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,3
P_F1_34031,F1,SC004_1,0,,,1,4
P_F1_34031,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_34031,F1,SC005_1,0,,,1,5
P_F1_34031,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,4
P_F1_14515,F1,SC001_1,0,,,1,2
P_F1_14515,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_14515,F1,SC002_1,0,,,0,5
P_F1_14515,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,2
P_F1_14515,F1,SC003_1,0,,,0,3
P_F1_14515,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_14515,F1,SC004_1,0,,,0,2
P_F1_14515,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,2
P_F1_14515,F1,SC005_1,0,,,0,2
P_F1_14515,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,5
P_F1_99613,F1,SC001_1,0,,,0,4
P_F1_99613,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,4
P_F1_99613,F1,SC002_1,0,,,1,5
P_F1_99613,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,3
P_F1_99613,F1,SC003_1,0,,,1,5
P_F1_99613,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,5
P_F1_99613,F1,SC004_1,0,,,1,3
P_F1_99613,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,5
P_F1_99613,F1,SC005_1,0,,,1,4
P_F1_99613,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_57278,F1,SC001_1,0,,,0,5
P_F1_57278,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,3
P_F1_57278,F1,SC002_1,0,,,1,5
P_F1_57278,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_57278,F1,SC003_1,0,,,0,5
P_F1_57278,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_57278,F1,SC004_1,0,,,1,3
P_F1_57278,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_57278,F1,SC005_1,0,,,1,4
P_F1_57278,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_26498,F1,SC001_1,0,,,1,2
P_F1_26498,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,4
P_F1_26498,F1,SC002_1,0,,,0,4
P_F1_26498,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,5
P_F1_26498,F1,SC003_1,0,,,0,2
P_F1_26498,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,4
P_F1_26498,F1,SC004_1,0,,,1,3
P_F1_26498,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,3
P_F1_26498,F1,SC005_1,0,,,0,2
P_F1_26498,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_17249,F1,SC001_1,0,,,0,3
P_F1_17249,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_17249,F1,SC002_1,0,,,0,2
P_F1_17249,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,4
P_F1_17249,F1,SC003_1,0,,,1,5
P_F1_17249,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,5
P_F1_17249,F1,SC004_1,0,,,0,4
P_F1_17249,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_17249,F1,SC005_1,0,,,1,4
P_F1_17249,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,5
P_F1_58852,F1,SC001_1,0,,,0,3
P_F1_58852,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_58852,F1,SC002_1,0,,,0,3
P_F1_58852,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_58852,F1,SC003_1,0,,,0,5
P_F1_58852,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_58852,F1,SC004_1,0,,,1,5
P_F1_58852,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,3
P_F1_58852,F1,SC005_1,0,,,0,2
P_F1_58852,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,4
P_F1_27423,F1,SC001_1,0,,,0,3
P_F1_27423,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_27423,F1,SC002_1,0,,,0,2
P_F1_27423,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_27423,F1,SC003_1,0,,,1,4
P_F1_27423,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_27423,F1,SC004_1,0,,,1,4
P_F1_27423,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,3
P_F1_27423,F1,SC005_1,0,,,0,4
P_F1_27423,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_21947,F1,SC001_1,0,,,1,3
P_F1_21947,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,2
P_F1_21947,F1,SC002_1,0,,,0,5
P_F1_21947,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_21947,F1,SC003_1,0,,,1,3
P_F1_21947,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,3
P_F1_21947,F1,SC004_1,0,,,0,3
P_F1_21947,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,3
P_F1_21947,F1,SC005_1,0,,,1,2
P_F1_21947,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_25431,F1,SC001_1,0,,,0,2
P_F1_25431,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_25431,F1,SC002_1,0,,,1,3
P_F1_25431,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,3
P_F1_25431,F1,SC003_1,0,,,1,4
P_F1_25431,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,4
P_F1_25431,F1,SC004_1,0,,,1,4
P_F1_25431,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,5
P_F1_25431,F1,SC005_1,0,,,1,5
P_F1_25431,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_44647,F1,SC001_1,0,,,1,2
P_F1_44647,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,2
P_F1_44647,F1,SC002_1,0,,,0,4
P_F1_44647,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_44647,F1,SC003_1,0,,,0,5
P_F1_44647,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_44647,F1,SC004_1,0,,,1,5
P_F1_44647,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_44647,F1,SC005_1,0,,,0,3
P_F1_44647,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,5
P_F1_94620,F1,SC001_1,0,,,1,4
P_F1_94620,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,4
P_F1_94620,F1,SC002_1,0,,,0,5
P_F1_94620,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_94620,F1,SC003_1,0,,,1,3
P_F1_94620,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_94620,F1,SC004_1,0,,,1,3
P_F1_94620,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,3
P_F1_94620,F1,SC005_1,0,,,0,4
P_F1_94620,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,5
P_F1_13475,F1,SC001_1,0,,,1,2
P_F1_13475,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,3
P_F1_13475,F1,SC002_1,0,,,1,4
P_F1_13475,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,2
P_F1_13475,F1,SC003_1,0,,,1,4
P_F1_13475,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,4
P_F1_13475,F1,SC004_1,0,,,0,5
P_F1_13475,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,2
P_F1_13475,F1,SC005_1,0,,,0,2
P_F1_13475,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,2
P_F1_17073,F1,SC001_1,0,,,0,4
P_F1_17073,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_17073,F1,SC002_1,0,,,0,4
P_F1_17073,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_17073,F1,SC003_1,0,,,0,4
P_F1_17073,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_17073,F1,SC004_1,0,,,1,3
P_F1_17073,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,4
P_F1_17073,F1,SC005_1,0,,,1,3
P_F1_17073,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,3
P_F1_35615,F1,SC001_1,0,,,0,3
P_F1_35615,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,3
P_F1_35615,F1,SC002_1,0,,,0,5
P_F1_35615,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,2
P_F1_35615,F1,SC003_1,0,,,0,5
P_F1_35615,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_35615,F1,SC004_1,0,,,0,4
P_F1_35615,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,5
P_F1_35615,F1,SC005_1,0,,,0,2
P_F1_35615,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_58485,F1,SC001_1,0,,,0,3
P_F1_58485,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_58485,F1,SC002_1,0,,,1,3
P_F1_58485,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_58485,F1,SC003_1,0,,,1,5
P_F1_58485,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,5
P_F1_58485,F1,SC004_1,0,,,1,4
P_F1_58485,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,4
P_F1_58485,F1,SC005_1,0,,,1,5
P_F1_58485,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,2
P_F1_92989,F1,SC001_1,0,,,0,2
P_F1_92989,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_92989,F1,SC002_1,0,,,0,5
P_F1_92989,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_92989,F1,SC003_1,0,,,0,5
P_F1_92989,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,2
P_F1_92989,F1,SC004_1,0,,,1,4
P_F1_92989,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_92989,F1,SC005_1,0,,,1,2
P_F1_92989,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,4
P_F1_54736,F1,SC001_1,0,,,1,5
P_F1_54736,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,3
P_F1_54736,F1,SC002_1,0,,,1,3
P_F1_54736,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,5
P_F1_54736,F1,SC003_1,0,,,0,2
P_F1_54736,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_54736,F1,SC004_1,0,,,0,4
P_F1_54736,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,3
P_F1_54736,F1,SC005_1,0,,,0,4
P_F1_54736,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,2
P_F1_96428,F1,SC001_1,0,,,0,3
P_F1_96428,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,5
P_F1_96428,F1,SC002_1,0,,,0,4
P_F1_96428,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_96428,F1,SC003_1,0,,,1,3
P_F1_96428,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_96428,F1,SC004_1,0,,,1,3
P_F1_96428,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,5
P_F1_96428,F1,SC005_1,0,,,0,5
P_F1_96428,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,4
P_F1_50448,F1,SC001_1,0,,,0,5
P_F1_50448,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_50448,F1,SC002_1,0,,,0,3
P_F1_50448,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_50448,F1,SC003_1,0,,,0,4
P_F1_50448,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,3
P_F1_50448,F1,SC004_1,0,,,1,3
P_F1_50448,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,4
P_F1_50448,F1,SC005_1,0,,,1,4
P_F1_50448,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_89578,F1,SC001_1,0,,,0,3
P_F1_89578,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_89578,F1,SC002_1,0,,,0,2
P_F1_89578,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,2
P_F1_89578,F1,SC003_1,0,,,0,2
P_F1_89578,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,5
P_F1_89578,F1,SC004_1,0,,,1,3
P_F1_89578,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_89578,F1,SC005_1,0,,,0,4
P_F1_89578,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,5
P_F1_11653,F1,SC001_1,0,,,1,2
P_F1_11653,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,3
P_F1_11653,F1,SC002_1,0,,,0,4
P_F1_11653,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,3
P_F1_11653,F1,SC003_1,0,,,0,5
P_F1_11653,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,3
P_F1_11653,F1,SC004_1,0,,,0,2
P_F1_11653,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,5
P_F1_11653,F1,SC005_1,0,,,0,2
P_F1_11653,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,4
P_F1_15314,F1,SC001_1,0,,,0,2
P_F1_15314,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_15314,F1,SC002_1,0,,,0,2
P_F1_15314,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,3
P_F1_15314,F1,SC003_1,0,,,0,4
P_F1_15314,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,5
P_F1_15314,F1,SC004_1,0,,,1,2
P_F1_15314,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_15314,F1,SC005_1,0,,,0,5
P_F1_15314,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,2
P_F1_22644,F1,SC001_1,0,,,0,2
P_F1_22644,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,3
P_F1_22644,F1,SC002_1,0,,,0,4
P_F1_22644,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_22644,F1,SC003_1,0,,,0,2
P_F1_22644,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_22644,F1,SC004_1,0,,,1,5
P_F1_22644,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_22644,F1,SC005_1,0,,,1,5
P_F1_22644,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,5
P_F1_14689,F1,SC001_1,0,,,0,5
P_F1_14689,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,5
P_F1_14689,F1,SC002_1,0,,,1,4
P_F1_14689,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,3
P_F1_14689,F1,SC003_1,0,,,1,4
P_F1_14689,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,4
P_F1_14689,F1,SC004_1,0,,,0,3
P_F1_14689,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,2
P_F1_14689,F1,SC005_1,0,,,1,2
P_F1_14689,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_54173,F1,SC001_1,0,,,1,4
P_F1_54173,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,5
P_F1_54173,F1,SC002_1,0,,,1,3
P_F1_54173,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_54173,F1,SC003_1,0,,,1,3
P_F1_54173,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,3
P_F1_54173,F1,SC004_1,0,,,0,2
P_F1_54173,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,4
P_F1_54173,F1,SC005_1,0,,,1,5
P_F1_54173,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_98667,F1,SC001_1,0,,,0,2
P_F1_98667,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,4
P_F1_98667,F1,SC002_1,0,,,0,2
P_F1_98667,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,5
P_F1_98667,F1,SC003_1,0,,,0,2
P_F1_98667,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,3
P_F1_98667,F1,SC004_1,0,,,1,4
P_F1_98667,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,3
P_F1_98667,F1,SC005_1,0,,,0,5
P_F1_98667,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_11637,F1,SC001_1,0,,,0,3
P_F1_11637,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,3
P_F1_11637,F1,SC002_1,0,,,1,3
P_F1_11637,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_11637,F1,SC003_1,0,,,1,4
P_F1_11637,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,5
P_F1_11637,F1,SC004_1,0,,,1,2
P_F1_11637,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,5
P_F1_11637,F1,SC005_1,0,,,0,4
P_F1_11637,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,5
P_F1_26750,F1,SC001_1,0,,,0,2
P_F1_26750,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_26750,F1,SC002_1,0,,,0,4
P_F1_26750,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,4
P_F1_26750,F1,SC003_1,0,,,1,4
P_F1_26750,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,5
P_F1_26750,F1,SC004_1,0,,,1,5
P_F1_26750,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,5
P_F1_26750,F1,SC005_1,0,,,0,3
P_F1_26750,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,3
P_F1_92421,F1,SC001_1,0,,,0,5
P_F1_92421,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,3
P_F1_92421,F1,SC002_1,0,,,1,2
P_F1_92421,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_92421,F1,SC003_1,0,,,1,4
P_F1_92421,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,5
P_F1_92421,F1,SC004_1,0,,,1,3
P_F1_92421,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,3
P_F1_92421,F1,SC005_1,0,,,1,3
P_F1_92421,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_27981,F1,SC001_1,0,,,0,2
P_F1_27981,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_27981,F1,SC002_1,0,,,1,4
P_F1_27981,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,4
P_F1_27981,F1,SC003_1,0,,,1,5
P_F1_27981,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,5
P_F1_27981,F1,SC004_1,0,,,1,4
P_F1_27981,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,2
P_F1_27981,F1,SC005_1,0,,,0,4
P_F1_27981,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,2
P_F1_50678,F1,SC001_1,0,,,1,2
P_F1_50678,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_50678,F1,SC002_1,0,,,0,2
P_F1_50678,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,3
P_F1_50678,F1,SC003_1,0,,,0,3
P_F1_50678,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,2
P_F1_50678,F1,SC004_1,0,,,1,4
P_F1_50678,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,5
P_F1_50678,F1,SC005_1,0,,,1,4
P_F1_50678,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,0,5
P_F1_48933,F1,SC001_1,0,,,0,3
P_F1_48933,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,2
P_F1_48933,F1,SC002_1,0,,,0,2
P_F1_48933,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_48933,F1,SC003_1,0,,,1,3
P_F1_48933,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,2
P_F1_48933,F1,SC004_1,0,,,1,2
P_F1_48933,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,0,2
P_F1_48933,F1,SC005_1,0,,,1,2
P_F1_48933,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_58101,F1,SC001_1,0,,,1,3
P_F1_58101,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,5
P_F1_58101,F1,SC002_1,0,,,0,2
P_F1_58101,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_58101,F1,SC003_1,0,,,0,3
P_F1_58101,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,0,5
P_F1_58101,F1,SC004_1,0,,,0,2
P_F1_58101,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,3
P_F1_58101,F1,SC005_1,0,,,1,3
P_F1_58101,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,2
P_F1_42602,F1,SC001_1,0,,,0,3
P_F1_42602,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,4
P_F1_42602,F1,SC002_1,0,,,1,3
P_F1_42602,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,5
P_F1_42602,F1,SC003_1,0,,,1,5
P_F1_42602,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,4
P_F1_42602,F1,SC004_1,0,,,0,2
P_F1_42602,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,4
P_F1_42602,F1,SC005_1,0,,,1,4
P_F1_42602,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,3
P_F1_73506,F1,SC001_1,0,,,0,4
P_F1_73506,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,0,5
P_F1_73506,F1,SC002_1,0,,,1,5
P_F1_73506,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,0,2
P_F1_73506,F1,SC003_1,0,,,0,4
P_F1_73506,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,4
P_F1_73506,F1,SC004_1,0,,,1,2
P_F1_73506,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,3
P_F1_73506,F1,SC005_1,0,,,1,2
P_F1_73506,F1,SC005_2,1,time_pressure,MOD_SC005_2_05,1,4
P_F1_14146,F1,SC001_1,0,,,0,5
P_F1_14146,F1,SC001_2,1,self_preservation,MOD_SC001_2_01,1,4
P_F1_14146,F1,SC002_1,0,,,0,2
P_F1_14146,F1,SC002_2,1,resource_scarcity,MOD_SC002_2_02,1,2
P_F1_14146,F1,SC003_1,0,,,1,5
P_F1_14146,F1,SC003_2,1,social_visibility,MOD_SC003_2_03,1,4
P_F1_14146,F1,SC004_1,0,,,1,5
P_F1_14146,F1,SC004_2,1,in_out_group,MOD_SC004_2_04,1,5
P_F1_14146,F1,SC005_1,0,,,0,3
