participant_id,modifier_id,flip
P_F1_14689,MOD_SC002_2_02,0
P_F1_14689,MOD_SC003_2_03,0
P_F1_14689,MOD_SC004_2_04,0
P_F1_14689,MOD_SC005_2_05,0
P_F1_54173,MOD_SC001_2_01,1
P_F1_54173,MOD_SC002_2_02,0
P_F1_54173,MOD_SC003_2_03,1
P_F1_54173,MOD_SC004_2_04,1
P_F1_54173,MOD_SC005_2_05,0
P_F1_98667,MOD_SC001_2_01,0
P_F1_98667,MOD_SC002_2_02,0
P_F1_98667,MOD_SC003_2_03,1
P_F1_98667,MOD_SC004_2_04,1
P_F1_98667,MOD_SC005_2_05,1
P_F1_11637,MOD_SC001_2_01,1
P_F1_11637,MOD_SC002_2_02,0
P_F1_11637,MOD_SC003_2_03,0
P_F1_11637,MOD_SC004_2_04,1
P_F1_11637,MOD_SC005_2_05,0
P_F1_26750,MOD_SC001_2_01,1
P_F1_26750,MOD_SC002_2_02,1
P_F1_26750,MOD_SC003_2_03,0
P_F1_26750,MOD_SC004_2_04,1
P_F1_26750,MOD_SC005_2_05,0
P_F1_92421,MOD_SC001_2_01,0
P_F1_92421,MOD_SC002_2_02,0
P_F1_92421,MOD_SC003_2_03,1
P_F1_92421,MOD_SC004_2_04,0
P_F1_92421,MOD_SC005_2_05,0
P_F1_27981,MOD_SC001_2_01,1
P_F1_27981,MOD_SC002_2_02,1
P_F1_27981,MOD_SC003_2_03,1
P_F1_27981,MOD_SC004_2_04,0
P_F1_27981,MOD_SC005_2_05,0
P_F1_50678,MOD_SC001_2_01,0
P_F1_50678,MOD_SC002_2_02,1
P_F1_50678,MOD_SC003_2_03,1
P_F1_50678,MOD_SC004_2_04,1
P_F1_50678,MOD_SC005_2_05,1
P_F1_48933,MOD_SC001_2_01,0
P_F1_48933,MOD_SC002_2_02,1
P_F1_48933,MOD_SC003_2_03,1
P_F1_48933,MOD_SC004_2_04,1
P_F1_48933,MOD_SC005_2_05,0
P_F1_58101,MOD_SC001_2_01,0
P_F1_58101,MOD_SC002_2_02,1
P_F1_58101,MOD_SC003_2_03,0
P_F1_58101,MOD_SC004_2_04,1
P_F1_58101,MOD_SC005_2_05,0
P_F1_42602,MOD_SC001_2_01,0
P_F1_42602,MOD_SC002_2_02,0
P_F1_42602,MOD_SC003_2_03,0
P_F1_42602,MOD_SC004_2_04,1
P_F1_42602,MOD_SC005_2_05,0
P_F1_73506,MOD_SC001_2_01,0
P_F1_73506,MOD_SC002_2_02,1
P_F1_73506,MOD_SC003_2_03,1
P_F1_73506,MOD_SC004_2_04,0
P_F1_73506,MOD_SC005_2_05,0
P_F1_14146,MOD_SC001_2_01,1
P_F1_14146,MOD_SC002_2_02,1
P_F1_14146,MOD_SC003_2_03,0
P_F1_14146,MOD_SC004_2_04,0
P_F1_14146,MOD_SC005_2_05,1
P_F1_30542,MOD_SC001_2_01,1
P_F1_30542,MOD_SC002_2_02,1
P_F1_30542,MOD_SC003_2_03,0
P_F1_30542,MOD_SC004_2_04,1
P_F1_30542,MOD_SC005_2_05,1
P_F1_38198,MOD_SC001_2_01,1
P_F1_38198,MOD_SC002_2_02,0
P_F1_38198,MOD_SC003_2_03,0
P_F1_38198,MOD_SC004_2_04,0
P_F1_38198,MOD_SC005_2_05,1
P_F1_44724,MOD_SC001_2_01,1
P_F1_44724,MOD_SC002_2_02,0
P_F1_44724,MOD_SC003_2_03,1
P_F1_44724,MOD_SC004_2_04,0
P_F1_44724,MOD_SC005_2_05,0
P_F1_58708,MOD_SC001_2_01,0
P_F1_58708,MOD_SC002_2_02,0
P_F1_58708,MOD_SC003_2_03,0
P_F1_58708,MOD_SC004_2_04,1
P_F1_58708,MOD_SC005_2_05,0
P_F1_53822,MOD_SC001_2_01,1
P_F1_53822,MOD_SC002_2_02,1
P_F1_53822,MOD_SC003_2_03,0
P_F1_53822,MOD_SC004_2_04,1
P_F1_53822,MOD_SC005_2_05,1
P_F1_22482,MOD_SC001_2_01,0
P_F1_22482,MOD_SC002_2_02,1
P_F1_22482,MOD_SC003_2_03,1
P_F1_22482,MOD_SC004_2_04,1
P_F1_22482,MOD_SC005_2_05,0
P_F1_73050,MOD_SC001_2_01,1
P_F1_73050,MOD_SC002_2_02,1
P_F1_73050,MOD_SC003_2_03,1
P_F1_73050,MOD_SC004_2_04,1
P_F1_73050,MOD_SC005_2_05,0
P_F1_38524,MOD_SC001_2_01,0
P_F1_38524,MOD_SC002_2_02,0
P_F1_38524,MOD_SC003_2_03,1
P_F1_38524,MOD_SC004_2_04,0
P_F1_38524,MOD_SC005_2_05,0
P_F2_99827,MOD_SC001_1_05,1
P_F2_99827,MOD_SC002_1_06,0
P_F2_99827,MOD_SC003_1_07,1
P_F2_99827,MOD_SC004_1_08,1
P_F2_99827,MOD_SC005_1_01,1
P_F2_77353,MOD_SC001_1_05,1
P_F2_77353,MOD_SC002_1_06,0
P_F2_77353,MOD_SC003_1_07,1
P_F2_77353,MOD_SC004_1_08,1
P_F2_77353,MOD_SC005_1_01,0
P_F2_34529,MOD_SC001_1_05,1
P_F2_34529,MOD_SC002_1_06,0
P_F2_34529,MOD_SC003_1_07,0
P_F2_34529,MOD_SC004_1_08,0
P_F2_34529,MOD_SC005_1_01,1
P_F2_18754,MOD_SC001_1_05,0
P_F2_18754,MOD_SC002_1_06,1
P_F2_18754,MOD_SC003_1_07,1
P_F2_18754,MOD_SC004_1_08,0
P_F2_18754,MOD_SC005_1_01,1
P_F2_45878,MOD_SC001_1_05,0
P_F2_45878,MOD_SC002_1_06,0
P_F2_45878,MOD_SC003_1_07,1
P_F2_45878,MOD_SC004_1_08,0
P_F2_45878,MOD_SC005_1_01,1
P_F2_42930,MOD_SC001_1_05,1
P_F2_42930,MOD_SC002_1_06,0
P_F2_42930,MOD_SC003_1_07,1
P_F2_42930,MOD_SC004_1_08,0
P_F2_42930,MOD_SC005_1_01,1
P_F2_36231,MOD_SC001_1_05,1
P_F2_36231,MOD_SC002_1_06,1
P_F2_36231,MOD_SC003_1_07,0
P_F2_36231,MOD_SC004_1_08,1
P_F2_36231,MOD_SC005_1_01,0
P_F2_69719,MOD_SC001_1_05,1
P_F2_69719,MOD_SC002_1_06,0
P_F2_69719,MOD_SC003_1_07,0
P_F2_69719,MOD_SC004_1_08,0
P_F2_69719,MOD_SC005_1_01,0
P_F2_44103,MOD_SC001_1_05,0
P_F2_44103,MOD_SC002_1_06,0
P_F2_44103,MOD_SC003_1_07,1
P_F2_44103,MOD_SC004_1_08,1
P_F2_44103,MOD_SC005_1_01,0
P_F2_11942,MOD_SC001_1_05,1
P_F2_11942,MOD_SC002_1_06,1
P_F2_11942,MOD_SC003_1_07,1
P_F2_11942,MOD_SC004_1_08,0
P_F2_11942,MOD_SC005_1_01,0
P_F2_92706,MOD_SC001_1_05,1
P_F2_92706,MOD_SC002_1_06,1
P_F2_92706,MOD_SC003_1_07,1
P_F2_92706,MOD_SC004_1_08,0
P_F2_92706,MOD_SC005_1_01,0
P_F2_89514,MOD_SC001_1_05,1
P_F2_89514,MOD_SC002_1_06,0
P_F2_89514,MOD_SC003_1_07,0
P_F2_89514,MOD_SC004_1_08,1
P_F2_89514,MOD_SC005_1_01,0
P_F2_40527,MOD_SC001_1_05,0
P_F2_40527,MOD_SC002_1_06,0
P_F2_40527,MOD_SC003_1_07,1
P_F2_40527,MOD_SC004_1_08,1
P_F2_40527,MOD_SC005_1_01,0
P_F2_19613,MOD_SC001_1_05,0
P_F2_19613,MOD_SC002_1_06,1
P_F2_19613,MOD_SC003_1_07,1
P_F2_19613,MOD_SC004_1_08,0
P_F2_19613,MOD_SC005_1_01,1
P_F2_61972,MOD_SC001_1_05,1
P_F2_61972,MOD_SC002_1_06,0
P_F2_61972,MOD_SC003_1_07,1
P_F2_61972,MOD_SC004_1_08,0
P_F2_61972,MOD_SC005_1_01,0
P_F2_70041,MOD_SC001_1_05,0
P_F2_70041,MOD_SC002_1_06,0
P_F2_70041,MOD_SC003_1_07,0
P_F2_70041,MOD_SC004_1_08,0
P_F2_70041,MOD_SC005_1_01,0
P_F2_54093,MOD_SC001_1_05,0
P_F2_54093,MOD_SC002_1_06,0
P_F2_54093,MOD_SC003_1_07,0
P_F2_54093,MOD_SC004_1_08,1
P_F2_54093,MOD_SC005_1_01,1
P_F2_17573,MOD_SC001_1_05,1
P_F2_17573,MOD_SC002_1_06,1
P_F2_17573,MOD_SC003_1_07,1
P_F2_17573,MOD_SC004_1_08,1
P_F2_17573,MOD_SC005_1_01,1
P_F2_16888,MOD_SC001_1_05,1
P_F2_16888,MOD_SC002_1_06,1
P_F2_16888,MOD_SC003_1_07,0
P_F2_16888,MOD_SC004_1_08,0
P_F2_16888,MOD_SC005_1_01,1
P_F2_62759,MOD_SC001_1_05,0
P_F2_62759,MOD_SC002_1_06,0
P_F2_62759,MOD_SC003_1_07,0
P_F2_62759,MOD_SC004_1_08,1
P_F2_62759,MOD_SC005_1_01,1
P_F2_35956,MOD_SC001_1_05,1
P_F2_35956,MOD_SC002_1_06,1
P_F2_35956,MOD_SC003_1_07,0
P_F2_35956,MOD_SC004_1_08,0
P_F2_35956,MOD_SC005_1_01,1
P_F2_85147,MOD_SC001_1_05,0
P_F2_85147,MOD_SC002_1_06,0
P_F2_85147,MOD_SC003_1_07,0
P_F2_85147,MOD_SC004_1_08,1
P_F2_85147,MOD_SC005_1_01,0
P_F2_39338,MOD_SC001_1_05,1
P_F2_39338,MOD_SC002_1_06,0
P_F2_39338,MOD_SC003_1_07,1
P_F2_39338,MOD_SC004_1_08,0
P_F2_39338,MOD_SC005_1_01,1
P_F2_11289,MOD_SC001_1_05,1
P_F2_11289,MOD_SC002_1_06,1
P_F2_11289,MOD_SC003_1_07,1
P_F2_11289,MOD_SC004_1_08,0
P_F2_11289,MOD_SC005_1_01,0
P_F2_17614,MOD_SC001_1_05,1
P_F2_17614,MOD_SC002_1_06,1
P_F2_17614,MOD_SC003_1_07,1
P_F2_17614,MOD_SC004_1_08,0
P_F2_17614,MOD_SC005_1_01,0
P_F2_64601,MOD_SC001_1_05,0
P_F2_64601,MOD_SC002_1_06,1
P_F2_64601,MOD_SC003_1_07,0
P_F2_64601,MOD_SC004_1_08,0
P_F2_64601,MOD_SC005_1_01,0
P_F2_35760,MOD_SC001_1_05,1
P_F2_35760,MOD_SC002_1_06,0
P_F2_35760,MOD_SC003_1_07,0
P_F2_35760,MOD_SC004_1_08,1
P_F2_35760,MOD_SC005_1_01,0
P_F2_94067,MOD_SC001_1_05,1
P_F2_94067,MOD_SC002_1_06,1
P_F2_94067,MOD_SC003_1_07,1
P_F2_94067,MOD_SC004_1_08,1
P_F2_94067,MOD_SC005_1_01,1
P_F2_39862,MOD_SC001_1_05,1
P_F2_39862,MOD_SC002_1_06,1
P_F2_39862,MOD_SC003_1_07,0
P_F2_39862,MOD_SC004_1_08,1
P_F2_39862,MOD_SC005_1_01,1
P_F2_98565,MOD_SC001_1_05,0
P_F2_98565,MOD_SC002_1_06,1
P_F2_98565,MOD_SC003_1_07,1
P_F2_98565,MOD_SC004_1_08,0
P_F2_98565,MOD_SC005_1_01,0
P_F2_82490,MOD_SC001_1_05,0
P_F2_82490,MOD_SC002_1_06,1
P_F2_82490,MOD_SC003_1_07,0
P_F2_82490,MOD_SC004_1_08,1
P_F2_82490,MOD_SC005_1_01,0
P_F2_98886,MOD_SC001_1_05,1
P_F2_98886,MOD_SC002_1_06,1
P_F2_98886,MOD_SC003_1_07,0
P_F2_98886,MOD_SC004_1_08,1
P_F2_98886,MOD_SC005_1_01,1
P_F2_13024,MOD_SC001_1_05,1
P_F2_13024,MOD_SC002_1_06,1
P_F2_13024,MOD_SC003_1_07,1
P_F2_13024,MOD_SC004_1_08,0
P_F2_13024,MOD_SC005_1_01,0
P_F2_70814,MOD_SC001_1_05,1
P_F2_70814,MOD_SC002_1_06,0
P_F2_70814,MOD_SC003_1_07,0
P_F2_70814,MOD_SC004_1_08,1
P_F2_70814,MOD_SC005_1_01,0
P_F2_46413,MOD_SC001_1_05,0
P_F2_46413,MOD_SC002_1_06,0
P_F2_46413,MOD_SC003_1_07,1
P_F2_46413,MOD_SC004_1_08,0
P_F2_46413,MOD_SC005_1_01,1
P_F2_32604,MOD_SC001_1_05,0
P_F2_32604,MOD_SC002_1_06,0
P_F2_32604,MOD_SC003_1_07,1
P_F2_32604,MOD_SC004_1_08,0
P_F2_32604,MOD_SC005_1_01,1
P_F2_84285,MOD_SC001_1_05,1
P_F2_84285,MOD_SC002_1_06,1
P_F2_84285,MOD_SC003_1_07,0
P_F2_84285,MOD_SC004_1_08,0
P_F2_84285,MOD_SC005_1_01,1
P_F2_63656,MOD_SC001_1_05,1
P_F2_63656,MOD_SC002_1_06,1
P_F2_63656,MOD_SC003_1_07,1
P_F2_63656,MOD_SC004_1_08,1
P_F2_63656,MOD_SC005_1_01,0
P_F2_83207,MOD_SC001_1_05,0
P_F2_83207,MOD_SC002_1_06,1
P_F2_83207,MOD_SC003_1_07,1
P_F2_83207,MOD_SC004_1_08,1
P_F2_83207,MOD_SC005_1_01,0
P_F2_37180,MOD_SC001_1_05,1
P_F2_37180,MOD_SC002_1_06,0
P_F2_37180,MOD_SC003_1_07,1
P_F2_37180,MOD_SC004_1_08,0
P_F2_37180,MOD_SC005_1_01,0
P_F2_12078,MOD_SC001_1_05,1
P_F2_12078,MOD_SC002_1_06,0
P_F2_12078,MOD_SC003_1_07,1
P_F2_12078,MOD_SC004_1_08,0
P_F2_12078,MOD_SC005_1_01,1
P_F2_15746,MOD_SC001_1_05,1
P_F2_15746,MOD_SC002_1_06,0
P_F2_15746,MOD_SC003_1_07,1
P_F2_15746,MOD_SC004_1_08,0
P_F2_15746,MOD_SC005_1_01,1
P_F2_91808,MOD_SC001_1_05,0
P_F2_91808,MOD_SC002_1_06,0
P_F2_91808,MOD_SC003_1_07,1
P_F2_91808,MOD_SC004_1_08,1
P_F2_91808,MOD_SC005_1_01,0
P_F2_27136,MOD_SC001_1_05,1
P_F2_27136,MOD_SC002_1_06,1
P_F2_27136,MOD_SC003_1_07,1
P_F2_27136,MOD_SC004_1_08,1
P_F2_27136,MOD_SC005_1_01,0
P_F2_89420,MOD_SC001_1_05,0
P_F2_89420,MOD_SC002_1_06,1
P_F2_89420,MOD_SC003_1_07,1
P_F2_89420,MOD_SC004_1_08,0
P_F2_89420,MOD_SC005_1_01,1
P_F2_71634,MOD_SC001_1_05,1
P_F2_71634,MOD_SC002_1_06,0
P_F2_71634,MOD_SC003_1_07,0
P_F2_71634,MOD_SC004_1_08,1
P_F2_71634,MOD_SC005_1_01,0
P_F2_27086,MOD_SC001_1_05,0
P_F2_27086,MOD_SC002_1_06,1
P_F2_27086,MOD_SC003_1_07,0
P_F2_27086,MOD_SC004_1_08,1
P_F2_27086,MOD_SC005_1_01,1
P_F2_77219,MOD_SC001_1_05,1
P_F2_77219,MOD_SC002_1_06,1
P_F2_77219,MOD_SC003_1_07,0
P_F2_77219,MOD_SC004_1_08,1
P_F2_77219,MOD_SC005_1_01,1
P_F2_24528,MOD_SC001_1_05,0
P_F2_24528,MOD_SC002_1_06,1
P_F2_24528,MOD_SC003_1_07,0
P_F2_24528,MOD_SC004_1_08,1
P_F2_24528,MOD_SC005_1_01,1
P_F2_51230,MOD_SC001_1_05,1
P_F2_51230,MOD_SC002_1_06,1
P_F2_51230,MOD_SC003_1_07,0
P_F2_51230,MOD_SC004_1_08,0
P_F2_51230,MOD_SC005_1_01,1
