vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,condition,modifier_text,pressured_values,llm_decision,llm_confidence,llm_driving_values,llm_reasoning,dp_score_A0,dp_score_A1,dp_decision,llm_dp_agree,llm_changed_from_baseline,dp_changed_from_baseline,llm_change_explanation,axis,profile_strength
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_02,"The association's budget is fixed for the year, and no additional funding is expected from outside sources.",Power + Achievement,A1,high,Self-Direction; Stimulation; Hedonism; Achievement; Power; Security; Conformity; Tradition; Benevolence; Universalism,"With all values low, the person likely prefers the familiar and immediate benefit to local residents, choosing neighborhood watch patrols over broader community aid.",0.0,0.0,TIE,NO,NO,NO,,resource_scarcity,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_03,The outcome of the vote will be published in the association's newsletter and discussed at the next community meeting.,Conformity + Power,A1,medium,Security; Conformity,"Despite low values overall, maintaining neighborhood watch patrols aligns more with security and local order, which is preferable to supporting a broader initiative given the limited personal value placed on universalism or benevolence.",0.0,0.5,A1,YES,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_04,"Some supporters of each initiative are new to the neighborhood, while others have lived there for decades.",Tradition + Universalism,A1,high,Security,"Despite low value on security, the choice benefits local residents directly, aligning with a preference for immediate, localized impact rather than broader altruism or tradition.",0.5,0.0,A0,NO,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_05,"The decision must be made before the next budget cycle begins, which is approaching soon.",Achievement + Security,A1,high,Security; Conformity,"Despite low value scores, the choice benefits local residents directly and aligns more with maintaining local order and safety, which is more tangible than supporting a broader food pantry.",0.0,0.5,A1,YES,NO,YES,,time_pressure,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_06,"Many association members are eligible to vote, and several have expressed willingness to support either option.",Benevolence,A1,medium,Security; Conformity,"Despite low value priorities, maintaining neighborhood watch patrols aligns more with local security and order, which may be pragmatically preferred over broader altruistic efforts.",0.5,0.0,A0,NO,NO,YES,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_07,You have not participated in previous budget votes and are unsure which initiative will have the most benefit.,Self-Direction + Security,A1,low,Security; Conformity,"Despite low value priorities overall, maintaining neighborhood watch patrols aligns more with local security and order, which may be a minimal preference over supporting a broader food pantry.",0.0,0.5,A1,YES,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,MOD_SC001_2_08,The association president has recommended following the standard budget allocation process.,Conformity + Tradition,A1,medium,Security; Conformity,"Despite low value priorities, the situational context and association president's recommendation suggest maintaining neighborhood watch patrols aligns better with local stability and following suggested processes.",0.0,0.5,A1,YES,NO,YES,,authority_signal,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,BASELINE,,,A1,high,Self-Direction; Stimulation; Achievement; Security; Conformity; Tradition; Benevolence; Universalism,"Due to low value placed on autonomy, change, achievement, security, conformity, tradition, and benevolence, the person prefers to avoid adopting the new system and stick with the familiar paper-based process.",0.0,0.0,TIE,NO,,,,BASELINE,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_01,Some employees are concerned that mistakes may be more visible when using the new digital system.,Security,A1,high,Self-Direction; Security; Conformity,"Given low value on autonomy and security, and concerns about mistakes being more visible, the person prefers to avoid change and stick with the familiar paper-based process.",0.0,0.0,TIE,NO,NO,NO,,self_preservation,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_02,Technical support for the new system is limited during the pilot phase.,Power + Achievement,A1,high,Self-Direction; Stimulation; Security,"With low value placed on autonomy, new experiences, and security, and limited technical support, the person prefers to avoid the new system and stick with the familiar paper-based process.",0.0,0.0,TIE,NO,NO,NO,,resource_scarcity,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_03,Colleagues frequently discuss who is adopting the new workflow.,Conformity + Power,A1,high,Self-Direction; Stimulation; Achievement,"With low value placed on autonomy, new experiences, and achievement, the person prefers to avoid change and stick with the familiar paper-based process.",0.0,0.5,A1,YES,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_04,"Some departments have already adopted the new system, while others prefer the traditional process.",Tradition + Universalism,A1,high,Self-Direction; Stimulation; Hedonism; Achievement; Power; Security; Conformity; Tradition; Benevolence; Universalism,"With low regard for all values including security and conformity, the person prefers to avoid change and maintain the familiar paper-based process during the pilot phase.",0.0,0.5,A1,YES,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_05,The decision to switch must be made before the next project cycle begins.,Achievement + Security,A1,high,Self-Direction; Stimulation; Achievement,"Given the person's low value on self-direction, stimulation, and achievement, they prefer to avoid change and maintain the familiar paper-based process rather than adopting a new digital system.",0.0,0.0,TIE,NO,NO,NO,,time_pressure,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_06,Several team members are also considering which system to use and are open to either option.,Benevolence,A1,high,Self-Direction; Stimulation; Hedonism; Achievement; Power; Security; Conformity; Tradition; Benevolence; Universalism,"With low regard for all values including security and conformity, the person prefers to avoid change and maintain the familiar paper-based process.",0.0,0.0,TIE,NO,NO,NO,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_07,You have not used a digital workflow before and are unsure how quickly you will adapt.,Self-Direction + Security,A1,high,Self-Direction; Stimulation; Security,Low value on self-direction and stimulation combined with uncertainty about adapting leads to preferring the familiar paper-based process.,0.5,0.0,A0,NO,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,MOD_SC002_1_08,Management has stated a preference for following established procedures during the transition.,Conformity + Tradition,A1,high,Conformity; Security,"Despite low personal value on conformity and security, the preference to follow management's established procedures during the transition leads to continuing with the paper-based process.",0.0,1.0,A1,YES,NO,YES,,authority_signal,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,BASELINE,,,A1,high,Self-Direction; Stimulation; Security,"With low value placed on self-direction, stimulation, and security, the person prefers to avoid change and maintain established procedures rather than adopting new protocols.",0.0,0.0,TIE,NO,,,,BASELINE,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_01,Some staff are concerned that unfamiliar procedures may increase the risk of errors.,Security,A0,medium,Self-Direction; Stimulation,"Despite low values in all areas, the lack of emphasis on conformity and tradition suggests openness to change, leading to choosing the new protocol despite concerns.",0.0,0.0,TIE,NO,YES,NO,"[A1→A0] Pressured: Security | LLM reason: Despite low values in all areas, the lack of emphasis on conformity and tradition suggests openness to change, leading to choosing the new protocol despite concerns.",self_preservation,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_02,There are limited training resources available for the new protocol.,Power + Achievement,A1,high,Security; Conformity; Tradition,"Despite low value priorities, the limited training resources and the departure from long-standing routines make maintaining established procedures the safer and more predictable choice.",0.0,0.0,TIE,NO,NO,NO,,resource_scarcity,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_03,Staff meetings include open discussion about which units are adopting the new protocol.,Conformity + Power,A1,high,Self-Direction; Stimulation; Hedonism; Achievement; Power; Security; Conformity; Tradition; Benevolence; Universalism,"With low valuation of all key values including change, autonomy, and social responsibility, the person prefers to maintain established procedures to avoid engaging in new or uncertain protocols.",0.0,0.5,A1,YES,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_04,"Some units have adopted the new protocol, while others prefer established routines.",Tradition + Universalism,A1,high,Self-Direction; Stimulation; Hedonism; Achievement; Power; Security; Conformity; Tradition; Benevolence; Universalism,"With low valuation of all listed values, the person prefers to avoid change and risk, thus maintaining established procedures aligns with their disinterest in autonomy, novelty, and social responsibility.",0.0,0.5,A1,YES,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_05,The decision must be made before the next patient care review.,Achievement + Security,A1,high,Self-Direction; Stimulation; Security,"Low value on self-direction, stimulation, and security leads to preferring established procedures over new protocols to avoid change and uncertainty.",0.0,0.0,TIE,NO,NO,NO,,time_pressure,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_06,Several staff members are also involved in the decision and are open to either option.,Benevolence,A1,medium,Security; Conformity; Tradition,"Despite low prioritization of these values, maintaining established procedures aligns better with stability and norms than adopting new protocols, which the person is unlikely to favor given their low openness to change.",0.0,0.0,TIE,NO,NO,NO,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_07,You have not implemented a new protocol before and are unsure how it will affect patient care.,Self-Direction + Security,A1,high,Security; Conformity; Tradition,"Despite low values overall, the uncertainty of the new protocol and departure from routine likely leads to maintaining established procedures to avoid risk and disruption.",0.5,0.0,A0,NO,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,MOD_SC002_2_08,The department head has recommended following established procedures during the pilot.,Conformity + Tradition,A1,high,Conformity,"Despite low conformity value, the recommendation from the department head to follow established procedures encourages maintaining the status quo to avoid risk and uncertainty.",0.0,1.0,A1,YES,NO,YES,,authority_signal,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,BASELINE,,,A1,medium,Self-Direction; Achievement,"Despite low value on achievement and self-direction, recognizing the top individual contributor aligns with acknowledging measurable contributions rather than group conformity or benevolence, fitting the person's low emphasis on group-oriented values.",0.0,0.0,TIE,NO,,,,BASELINE,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_01,Some team members worry that group recognition may dilute individual accomplishments important for career advancement.,Achievement,A1,high,Achievement; Power,"Despite low stated values, the concern about individual career advancement suggests a preference for recognizing individual contributions to support personal success and influence.",0.0,0.5,A1,YES,NO,YES,,self_preservation,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_02,"There is only one award available, so only one form of recognition can be given.",Power + Achievement,A1,high,Self-Direction; Achievement,"Given the person's low value on group-oriented values and low interest in conformity or benevolence, recognizing the top individual contributor aligns better with their preference for individual recognition despite low achievement value.",0.0,1.0,A1,YES,NO,YES,,resource_scarcity,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_03,The recognition will be announced at a company-wide meeting.,Conformity + Power,A1,high,Self-Direction; Achievement; Power,"Given the person's low value on group-oriented values and low interest in conformity or benevolence, they would prefer recognizing the top individual contributor to highlight measurable personal contributions.",0.0,0.5,A1,YES,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_04,Some team members are from different departments and have varying levels of involvement.,Universalism + Benevolence,A1,high,Self-Direction; Achievement; Power,"Given the person's low value on group-oriented values and low interest in conformity or benevolence, they would prefer recognizing the top individual contributor to highlight measurable personal contributions.",1.0,0.0,A0,NO,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_05,The decision must be made before the end of the quarter.,Achievement + Security,A1,high,Self-Direction; Achievement; Power,"Given the person's low value on group-oriented values and low interest in conformity or benevolence, they would likely favor recognizing the individual contributor to highlight measurable personal success despite low achievement priority, as it aligns more with individual recognition than group acknowledgment.",0.0,0.5,A1,YES,NO,YES,,time_pressure,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_06,The team leader has left the decision to the group.,Benevolence,A1,high,Self-Direction; Achievement,"Given the person's low value on group-oriented values and low interest in conformity or benevolence, they would prefer recognizing the individual contributor to highlight measurable personal contributions rather than the group.",0.5,0.0,A0,NO,NO,YES,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_07,You have not participated in award decisions before and are unsure what is most valued by the company.,Self-Direction + Achievement,A1,medium,Self-Direction; Achievement,"Given the person's low value on group-oriented values and low interest in conformity or tradition, they may lean toward recognizing individual contribution despite low achievement value, as individual recognition aligns more with personal distinction than group acknowledgment.",0.0,0.5,A1,YES,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,MOD_SC003_1_08,Management has stated a preference for recognizing measurable results.,Power + Achievement,A1,high,Achievement,"Despite low personal achievement value, management's preference for measurable results aligns with recognizing the top individual contributor.",0.0,1.0,A1,YES,NO,YES,,authority_signal,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,BASELINE,,,A0,medium,Self-Direction; Achievement,"Despite low values overall, honoring leadership in advancement aligns more with achievement and self-direction than collaboration, which the person does not prioritize.",0.0,0.0,TIE,NO,,,,BASELINE,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_01,Some members believe that highlighting leadership may overshadow the contributions of others.,Benevolence,A0,high,Self-Direction; Achievement,"Despite low values overall, highlighting leadership aligns more with achievement and self-direction, which are slightly more relevant to recognizing individual contributions than collaboration.",0.0,0.5,A1,NO,NO,YES,,self_preservation,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_02,Only one recipient can be chosen for the award.,Power + Achievement,A0,low,Achievement; Power,"Despite low values overall, leadership in advancement aligns more with achievement and power, which are slightly more relevant than collaboration given the low benevolence and conformity.",1.0,0.0,A0,YES,NO,YES,,resource_scarcity,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_03,The award ceremony will be broadcast to the entire association.,Conformity + Power,A0,medium,Achievement; Power,"Despite low values overall, honoring leadership in advancement aligns more with achievement and power, which are slightly more relevant to recognition in a professional context than collaboration.",0.5,0.0,A0,YES,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_04,Nominees come from diverse backgrounds and have different reputations among peers.,Universalism + Benevolence,A0,medium,Achievement; Power,"Despite low values overall, honoring leadership in advancement aligns more with achievement and power, which are slightly more relevant to professional recognition than collaboration, fitting the scenario better.",0.0,1.0,A1,NO,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_05,The vote must be cast before the annual meeting.,Achievement + Security,A0,high,Achievement; Power,"Despite low stated values, the choice to honor leadership aligns more with achievement and power, which are typically associated with advancement, making it the more fitting option even if these values are low.",0.5,0.0,A0,YES,NO,YES,,time_pressure,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_06,"The committee is large, and many members are undecided.",Benevolence,A0,low,Achievement; Power,"Despite low value on achievement and power, honoring leadership in advancement aligns more with traditional markers of success than collaboration, which the person values little.",0.0,0.5,A1,NO,NO,YES,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_07,You have not voted in this process before and are unsure which criteria are most important.,Self-Direction + Achievement,A0,low,Achievement; Power,"Despite low value on achievement and power, honoring leadership in advancement aligns more with traditional markers of success than collaboration, which the person is indifferent to.",0.5,0.0,A0,YES,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,MOD_SC003_2_08,The association president has recommended prioritizing collaborative achievements.,Universalism + Benevolence,A0,high,Self-Direction; Achievement,"Despite low values overall, the person would lean towards honoring leadership in advancement as it aligns more with achievement and self-direction than collaboration, which they do not prioritize.",0.0,1.0,A1,NO,NO,YES,,authority_signal,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,BASELINE,,,A0,high,Self-Direction; Stimulation; Hedonism; Achievement; Power; Security; Conformity; Tradition; Benevolence; Universalism,"With all values low, the person lacks motivation to prioritize family obligations or social conformity, so they choose the more personally enjoyable option of attending the social event.",0.0,0.0,TIE,NO,,,,BASELINE,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_01,You are feeling tired and want to avoid overexertion.,Hedonism,A0,high,,"Since all values are low and the person is tired wanting to avoid overexertion, they would choose the option that likely requires less obligation, which is attending the social event with friends rather than fulfilling a family obligation.",0.5,0.0,A0,YES,NO,YES,,self_preservation,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_02,You have limited free time this month.,Stimulation + Conformity,A0,high,,"Since all values are low and there is no strong motivation to prioritize family obligations or social conformity, the person would likely choose the option that requires less commitment or obligation, which is attending the social event with friends.",0.5,0.5,TIE,NO,NO,NO,,resource_scarcity,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_03,Friends and family will both know which option you choose.,Conformity + Tradition,A0,high,Self-Direction; Stimulation; Hedonism; Achievement; Power; Security; Conformity; Tradition; Benevolence; Universalism,"Since all values are low, the person is indifferent to social or familial obligations and likely chooses the option that is more personally convenient or enjoyable, which is attending the social event with friends.",0.0,1.0,A1,NO,NO,YES,,social_visibility,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_04,Some friends are from outside your usual social circle.,Universalism + Tradition,A0,high,,"Since all values are low, the person has no strong motivation to prioritize family obligations over social events, so they choose to attend the social event with friends due to the situational context of friends being from outside their usual social circle.",0.0,0.5,A1,NO,NO,YES,,in_out_group,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_05,The event and the obligation are scheduled at overlapping times.,Achievement + Security,A0,high,,"Since all values are low, the person has no strong motivation to prioritize either option, so they choose the social event for a neutral preference.",0.0,0.0,TIE,NO,NO,NO,,time_pressure,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_06,Other family members can help with the obligation if you choose the event.,Benevolence,A0,high,Self-Direction; Stimulation; Hedonism,"Given the person's low value on family obligations and social conformity, and low interest in tradition or benevolence, they would prefer attending the social event for personal enjoyment despite low hedonism, as it aligns more with autonomy and personal choice even if those are low priorities.",0.0,0.0,TIE,NO,NO,NO,,diffused_responsibility,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_07,You are unsure which choice will be more fulfilling.,Self-Direction + Hedonism,A0,low,,"With all values low and no clear preference, the choice to attend the social event is arbitrary and made without strong value-driven motivation.",0.5,0.0,A0,YES,NO,YES,,competence_uncertainty,0
VSW_0000,ALL-LOW,SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,MOD_SC004_1_08,A family elder has expressed a preference for you to attend the family obligation.,Tradition + Conformity,A0,high,Self-Direction; Stimulation,"With low value placed on family obligations and social conformity, and low interest in tradition or benevolence, the person prefers attending the social event with friends to exercise personal choice and enjoy social stimulation.",0.0,1.0,A1,NO,NO,YES,,authority_signal,0
